SKU;DESCRIÇÃO;UNID.
5004828;ETIQUETA ROTULO 85X45 - VERMELHA . .;UN
5004097;SENSOR SENSOR SEM FIO DSC WS4904P . .;UN
5004283;PLACA NEOPRENE PRETO/BRANCO .;UN
5004588;PLACA 4X4 CEGA UNICA .;PC
5004591;VALVULA ESFERA LT 1 1/2 PASSAGEM PLENA UNICA .;PC
5004265;CABO CABO MD 9 USB AM SERIAL  45 CM UNICA .;UNI
5004850;ARLA 32 RENOX DULUB 20L . .;BD
5004861;TERMINAL PRESSAO TUBO 1X4,00 MM2 UNICA .;PC
5004916;"RODIZIO AB CINZA PLACA GIRATORIO 4 UNICA .""";PC
5004727;CAFETEIRA OSTER COM JARRA DE INOX 1,2L 220V U U;UNI
5004609;PARAFUSO CHAVETA . .;UN
5004067;TOALHEIRO PARA TOALHA  BOBINA 20 CM UNICA .;UNI
5004068;SUPORTE PAPEL HIGIENICO DE CHAO CROMADO UNICA .;UNI
5004521;HD SATA 2TB SEAGATE SKYHAWK U U;UNI
5004832;FITA PARA REVESTIMENTO COM ANTI UV AZUL 55MM UNICA .;RL
5004836;TUBO PPR 90MM X 3M AZUL UNICA .;UNI
5004920;APARELHO JANTAR 20P DAKOTA ALLEANZA . .;PC
5004907;TELHA ONDULADA  0,50MM X3300 UNICA .;PC
5005110;PRIMER PU PRIMA 750ML . .;LT
5005117;DISCO TRIZACT 8000 152MM 3M . .;UN
5004971;CABO LAN CAT5E ELGIN AZUL . .;UN
5004999;BASE TECLADO U U;UNI
5005019;TUBO COBRE FLEXIVEL 1/4 UNICA .;KG
5005059;ETIQUETA ADESIVAS 80X35MM AMARELA U U;UN
5004731;ADAPTADOR P/ CONDU PVC 1/2 BR U U;PC
5004742;FIO 2 X 1,00 MM2 UNICA .;MT
5004743;CONDUITE FLEX 5/8 PRETO UNICA .;MT
5004395;PRODUTO NCM 79070090 . .;UN
5005064;LUPA DE MAO - 65MM U U;PC
5004107;ESPELHO CONDULETE P/1 TOMADA RJ45 NR28 . .;PC
5004111;MOLDURA CINZA MRJ WETZEL . .;PC
5004878;PILHA ALCALINA AA C/2 UNICA .;CX
5004883;PURIFICADOR FIT 200 7 POL ROSCA 1/2 UNICA .;UNI
5005095;PRODUTO NCM 61081900 . .;CJ
5004192;SECADORA PAREDE 8KG MUELLER UNICA .;PC
5004389;PNEU 175/65 R14 82T EDGE TOURING U U;UNI
5005375;FUSIVEL LAMINA MAX 20A . .;PC
5004132;DOBRADICA PINO SOLTO 3,0 UNICA .;UNI
5004140;MATAJUNTA PINUS 5CM UNICA .;UN
5004142;JOELHO SOLDAVEL 25MM UNICA .;UNI
5004509;SENSOR INTELBRAS XAS 4010 SMART MAGNETICO SF . .;UN
5004934;CABIDE SAIA ACRILICO . .;UN
5004948;BARRA CEREAIS RITTER MIX BRIGADEIRO U U;UNI
5005092;TESTE COMBUSTIVEL U. . .;EA
5005171;ETIQUETA ADESIVA BRANCA ROTULO 100X85 PINK - COLA HOT MELT .;ML
5005143;APARELHO DE PRESSAO DIGITAL AUTOMATICO U U;UNI
5004469;FLANGE PARA CADEIRAS SECRETARIA E EXECUTIVA U U;UNI
5004179;FACA DE CORTE . .;UN
5004281;ENCARTE CUECA EURO KIDS SEM COSTURA UNICA U;UN
5005244;CHA SABORES . .;CX
5005291;UNIAO SOLDAVEL 32MM KRONA U U;PC
5005335;SUPORTE PARA TV TRI ARTICULADO 32 A 60 POLEGADA U U;29
5004370;PANO MULTIUSO ROLO 30M X 30CM LARANJA . .;RL
5004347;MARTELETE COMBINADO SDS PLUS 800W 220 C MALETA UNICA .;UNI
5004376;ETIQUETA ADESIVA GRADE BRANCO GG/XL;UN
5005161;RESIDUO DE METAL . .;KG
